text,Sentiment,Project_Status
"['Govt allocates Sh310bn to complete infrastructural projects: capital of kenya, Republic of kenya June ten - The government bear set aside … hypertext transfer protocol: / / t. carbon monoxide / 2bybgVKlqN']",1,0
['President Uhuru Republic of kenya begin an ambitious undertaking called the Kenya Affordable Living accommodations Task. Through with this projec … https: / / thyroxin. co / xnA3SSRSqo'],1,0
['_ Kenyatta _ s _ was _ going around the country launching _ in an _ that was largely seen _ … _: / / _. co / _'],0,0
['None of the project launched beaver state mentioned during the Madaraka period are have by or have in mind to serve Kisumu county … http: / / deoxythymidine monophosphate. co / JhYrJKa3Jz'],0,0
['None _ _ projects _ or mentioned during the _ period are owned _ or meant _ _ Kisumu _ … _: / / t. co / JhYrJKa3Jz'],0,0
['Chief executive Uhuru Kenya started an challenging task call in the Kenya Affordable Housing Undertaking. Through this projec … http: / / t. co / xnA3SSRSqo'],1,0
"['_ _ Sh310bn to complete infrastructural _: NAIROBI, Kenya June _ - _ _ has _ _ … https: / / t. co / _']",1,0
['_ of the projects launched or mentioned during _ _ _ are owned _ or meant to _ Kisumu _ _ https: / / t. co / _'],0,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ _ # _ _ Project _ _ _ from _ t … _: / / t. _ / LcKCZflqiz'],1,0
['_ of _ projects launched _ _ during the Madaraka period are owned _ _ meant to serve _ county _ https: / / _. co / JhYrJKa3Jz'],0,0
['Chair Uhuru Republic of kenya set off an ambitious project called the Kenya Affordable Trapping Project. Through this projec … http: / / t. cobalt / xnA3SSRSqo'],1,0
['None of _ projects _ _ mentioned during _ Madaraka period are _ by or _ to serve _ county … _: / / t. co / _'],0,0
['Uhuru Kenyatta ’ s deputy was fussy going around the nation launching projects in an effort that equal largely see as … https: / / thyroxine. co / s7HjfPpzbv'],0,0
['None _ the projects _ _ mentioned _ the Madaraka period _ _ _ or _ to serve Kisumu _ … https: / / t. co / JhYrJKa3Jz'],0,0
['Uhuru _ ’ _ deputy _ busy _ around the _ _ _ in _ effort that was largely seen _ … https: / / _. co / s7HjfPpzbv'],0,0
"['_ allocates _ _ _ _ _: NAIROBI, Kenya June 10 - The _ has set aside … https: / / _. _ / 2bybgVKlqN']",1,0
"['Govt allocates Sh310bn to fill in infrastructural project: capital of kenya, Republic of kenya June 10 - The government has typeset parenthesis … https: / / t. co / 2bybgVKlqN']",1,0
['Uhuru Kenyatta ’ s deputy was busy going around the country set up projects in an effort that personify for the most part seen as … https: / / t. cobalt / s7HjfPpzbv'],0,0
['None of the projection launched operating theatre name during the Madaraka period are owned by oregon intend to serve Kisumu county … https: / / t. co / JhYrJKa3Jz'],0,0
"['Govt allocates Sh310bn to dispatch infrastructural project: NAIROBI, Republic of kenya June 10 - The government has lay out digression … https: / / liothyronine. co / 2bybgVKlqN']",1,0
"[""One of President Uhuru Kenyatta ' south mega undertaking, the Nairobi Expressway, taking shape day by twenty four hours https: / / liothyronine. carbon monoxide gas / ebz4wLy1cH""]",1,0
['President Uhuru Kenya set forth an challenging undertaking called the Kenya Affordable Lodging Task. Through this projec … hypertext transfer protocol: / / thymine. co / xnA3SSRSqo'],1,0
['_ Kenyatta _ _ _ was busy going around the country _ _ in _ _ that was _ seen as … _: / / t. co / s7HjfPpzbv'],0,0
['_ Uhuru Kenya _ an ambitious _ _ the _ Affordable _ Project. Through _ projec _ https: / / t. _ / xnA3SSRSqo'],1,0
"[""One _ _ _ Kenyatta ' s mega projects, the Nairobi _, taking shape _ _ _ _: / / t. _ / ebz4wLy1cH""]",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from atomic number 2 t … http: / / t. co / LcKCZflqiz'],1,0
['United states president Uhuru Republic of kenya begin an ambitious project call the Kenya Affordable Caparison Task. Through this projec … https: / / tonne. co / xnA3SSRSqo'],1,0
"['Govt _ Sh310bn to complete _ projects: NAIROBI, _ _ 10 - The _ has set aside _ _: / / _. co / _']",1,0
['@ _ @ Riverlineridges @ PSCharlesHinga @ _ # _ the _ _ a nod from _ _ … https: / / _. co / _'],1,0
Opposition leader Uhuru Kenyatta and his close ally Raila Odinga are accusing PRESIDENT WILLIAM RUTO for delayed government projects. 🤣🤣🤣,0,0
['_ of the _ _ _ _ during _ Madaraka period are owned by or _ to serve Kisumu county … https: / / _. co / _'],0,0
['None of the projects launched oregon mentioned during the Madaraka period be owned by or meant to suffice Kisumu county … hypertext transfer protocol: / / t. atomic number 27 / JhYrJKa3Jz'],0,0
"[""One of President Uhuru Kenyatta ' s mega projects, the Nairobi Expressway, hold anatomy day by day hypertext transfer protocol: / / tonne. conscientious objector / ebz4wLy1cH""]",1,0
['Chief executive Uhuru Kenya started an challenging undertaking foretell the Kenya Affordable Trapping Project. Through this projec … https: / / t. colorado / xnA3SSRSqo'],1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Projection Got a nod from HE t … https: / / mt. centennial state / LcKCZflqiz'],1,0
['_ Kenyatta _ s deputy was _ _ around the country _ _ in an effort _ was largely seen as _ https: / / t. _ / _'],0,0
"One of President Uhuru Kenyatta's mega projects, the Nairobi Expressway, taking shape day by day https://t.co/ebz4wLy1cH",1,0
['President Uhuru Kenya started an ambitious _ called _ _ _ _ Project. _ this _ _ https: / / t. _ / xnA3SSRSqo'],1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Projection Got a nod from atomic number 2 t … https: / / t. carbon monoxide gas / LcKCZflqiz'],1,0
"[""_ Leader Raila _ ' _ project _ _ madaraka _ not a _ but _ alignment of 2013 on _ _ … https: / / t. co / 3HV17xUeTU""]",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Labor Got a nod from HE t … https: / / t. co / LcKCZflqiz'],1,0
"[""One of President _ Kenyatta ' _ mega projects, _ Nairobi Expressway, _ _ _ by _ _: / / _. co / ebz4wLy1cH""]",1,0
['President Uhuru Republic of kenya started an challenging project address the Kenya Affordable Living accommodations Task. Done this projec … http: / / t. co / xnA3SSRSqo'],1,0
['None of the projects launched or remark during the Madaraka menstruum are possess by or mean to serve Kisumu county … hypertext transfer protocol: / / t. co / JhYrJKa3Jz'],0,0
['_ Uhuru Kenya started an _ _ called the _ _ Housing _. _ _ projec _ https: / / t. co / xnA3SSRSqo'],1,0
"[""One of _ _ _ ' s mega projects, _ _ _, _ shape day by day _: / / _. co / ebz4wLy1cH""]",1,0
"['Govt apportion Sh310bn to complete infrastructural task: capital of kenya, Republic of kenya June 10 - The administration have set aside … https: / / mt. co / 2bybgVKlqN']",1,0
['Uhuru Kenyatta _ _ deputy _ busy _ _ the country launching projects in an _ _ was _ seen as … https: / / t. _ / _'],0,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from HE t … https: / / thyroxin. co / LcKCZflqiz'],1,0
['None of the projects launched or remark during the Madaraka period be owned by or signify to service Kisumu county … https: / / t. co / JhYrJKa3Jz'],0,0
['President _ _ started an ambitious _ _ the Kenya Affordable _ Project. Through this _ _ _: / / t. co / _'],1,0
President Uhuru Kenya started an ambitious project called the Kenya Affordable Housing Project. Through this projec… https://t.co/xnA3SSRSqo,1,0
"[""One of _ Uhuru _ ' s mega projects, _ _ _, taking shape day _ _ https: / / _. _ / ebz4wLy1cH""]",1,0
"[""ODM Leader _ Odinga ' _ project _ _ _ day not a _ but in _ _ 2013 on _ contri … _: / / t. co / 3HV17xUeTU""]",1,0
['@ _ @ Riverlineridges @ PSCharlesHinga @ _ # RiverlineRidgesRuiruKE the Project _ a nod _ _ _ _ _: / / t. co / _'],1,0
['@ _ @ _ @ PSCharlesHinga @ _ # RiverlineRidgesRuiruKE _ _ Got a nod from _ _ … _: / / t. co / _'],1,0
"['Govt allocates Sh310bn to fill out infrastructural labor: NAIROBI, Kenya June ten - The governing take ready aside … https: / / metric ton. co / 2bybgVKlqN']",1,0
"['Govt allocates _ to complete infrastructural _: NAIROBI, _ June _ - _ _ has set aside _ https: / / t. _ / _']",1,0
['@ _ @ Riverlineridges @ _ @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod _ _ _ _ https: / / _. _ / _'],1,0
"['Govt allocates Sh310bn to discharge infrastructural projection: capital of kenya, Kenya June 10 - The government has correct by … https: / / deoxythymidine monophosphate. co / 2bybgVKlqN']",1,0
['None of the projects launched operating theatre mentioned during the Madaraka geological period are own by or meant to serve Kisumu county … http: / / liothyronine. carbon monoxide / JhYrJKa3Jz'],0,0
['None of the projects launched or mentioned during the Madaraka menstruation make up owned by or meant to serve Kisumu county … http: / / t. co / JhYrJKa3Jz'],0,0
"[""_ _ President Uhuru _ ' _ mega _, the Nairobi Expressway, taking _ day _ _ https: / / t. _ / ebz4wLy1cH""]",1,0
"[""One of _ _ _ ' _ _ _, the Nairobi Expressway, _ shape _ by _ https: / / t. co / ebz4wLy1cH""]",1,0
['Uhuru Kenyatta ’ s deputy represent busy go around the country plunge projection in an effort that was largely seen as … hypertext transfer protocol: / / t. co / s7HjfPpzbv'],0,0
William Ruto was on the spot for commissioning a Sh5.3 billion 'empty' Lower Nzoia Irrigation Project without invol… https://t.co/LGeHj29UtC,0,0
"['Govt allocates Sh310bn to complete infrastructural projects: capital of kenya, Kenya June 10 - The politics has set up away … http: / / deoxythymidine monophosphate. co / 2bybgVKlqN']",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Labor Got a nod from helium t … http: / / deoxythymidine monophosphate. co / LcKCZflqiz'],1,0
['@ _ @ _ @ PSCharlesHinga @ StateHouseKenya # _ _ Project _ _ nod from _ t _ https: / / t. co / _'],1,0
['President of the united states Uhuru Republic of kenya start an challenging project call the Kenya Affordable Housing Project. Through this projec … https: / / t. carbon monoxide / xnA3SSRSqo'],1,0
['_ of _ projects _ or mentioned during the Madaraka _ _ _ by or _ to serve Kisumu _ … https: / / _. co / JhYrJKa3Jz'],0,0
['_ Kenyatta _ s deputy _ busy _ _ the _ launching _ in an effort _ was largely seen as … https: / / _. _ / s7HjfPpzbv'],0,0
['United states president Uhuru Republic of kenya started an ambitious labor called the Republic of kenya Affordable Housing Projection. Through with this projec … https: / / t. co / xnA3SSRSqo'],1,0
"['Govt _ Sh310bn to complete infrastructural _: _, Kenya June _ - The government has _ _ _ _: / / t. _ / 2bybgVKlqN']",1,0
['_ of the projects _ or _ _ _ Madaraka period are owned by or _ to _ _ county … https: / / t. _ / JhYrJKa3Jz'],0,0
['President Uhuru Kenya started _ ambitious project _ the _ _ Housing _. _ _ _ _ https: / / t. co / xnA3SSRSqo'],1,0
"[""One _ _ Uhuru Kenyatta ' s mega projects, _ _ Expressway, taking _ _ _ day https: / / _. _ / ebz4wLy1cH""]",1,0
['Chief executive Uhuru Republic of kenya start an challenging project called the Kenya Affordable Trapping Undertaking. Through this projec … https: / / thyroxine. co / xnA3SSRSqo'],1,0
"['Govt allocates Sh310bn _ complete infrastructural projects: NAIROBI, Kenya _ 10 - _ government _ _ aside _ _: / / _. co / _']",1,0
['None of the projects set in motion or mentioned during the Madaraka time period are owned by operating theater meant to serve Kisumu county … https: / / t. atomic number 27 / JhYrJKa3Jz'],0,0
['Uhuru Kenyatta ’ s deputy sheriff was in use going around the country launching labor in an effort that was largely see as … https: / / t. carbon monoxide gas / s7HjfPpzbv'],0,0
['President Uhuru _ _ an _ project called _ Kenya Affordable _ _. _ _ projec … _: / / t. co / xnA3SSRSqo'],1,0
['None of the undertaking launched operating room mentioned during the Madaraka period live own by or meant to serve Kisumu county … hypertext transfer protocol: / / t. colorado / JhYrJKa3Jz'],0,0
"['Govt allocate Sh310bn to complete infrastructural projection: capital of kenya, Kenya June 10 - The regime has set away … https: / / tetraiodothyronine. co / 2bybgVKlqN']",1,0
"['Govt _ Sh310bn _ complete _ projects: NAIROBI, _ June 10 - _ _ _ set _ … https: / / t. _ / 2bybgVKlqN']",1,0
"[""One of United states president Uhuru Kenyatta ' sulfur mega labor, the Nairobi Superhighway, pick out shape sidereal day by day https: / / t. carbon monoxide / ebz4wLy1cH""]",1,0
['Uhuru Kenyatta ’ s lieutenant was engaged going around the country launching projects in an effort that was mostly seen as … http: / / t. co / s7HjfPpzbv'],0,0
"Govt allocates Sh310bn to complete infrastructural projects: NAIROBI, Kenya June 10 - The government has set aside… https://t.co/2bybgVKlqN",1,0
"['Govt allocate Sh310bn to complete infrastructural task: NAIROBI, Kenya June x - The governance have fix excursus … http: / / t. co / 2bybgVKlqN']",1,0
"[""One of Chief executive Uhuru Kenyatta ' s mega undertaking, the Nairobi Expressway, take embodiment day by day hypertext transfer protocol: / / t. cobalt / ebz4wLy1cH""]",1,0
"[""One of _ _ Kenyatta ' _ _ projects, _ Nairobi Expressway, _ shape day _ day https: / / _. _ / ebz4wLy1cH""]",1,0
['_ Kenyatta ’ _ deputy was _ going around _ country launching _ _ _ effort _ _ largely seen as … https: / / t. _ / s7HjfPpzbv'],0,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Task Got a nod from HE t … http: / / triiodothyronine. co / LcKCZflqiz'],1,0
['Chairperson Uhuru Republic of kenya pop out an ambitious project called the Republic of kenya Affordable Caparison Projection. Through with this projec … http: / / t. co / xnA3SSRSqo'],1,0
['President Uhuru _ started an ambitious _ _ the Kenya Affordable Housing _. _ _ _ _ https: / / t. _ / xnA3SSRSqo'],1,0
['Uhuru _ _ s deputy was busy _ around _ country launching _ in an effort that _ largely _ as … https: / / _. _ / _'],0,0
['_ Kenyatta _ s deputy _ busy _ _ the country launching _ in an effort that was _ _ as _ https: / / t. _ / s7HjfPpzbv'],0,0
"[""_ of _ _ Kenyatta ' s _ projects, _ _ _, _ shape _ by day https: / / t. co / ebz4wLy1cH""]",1,0
['Uhuru Kenyatta ’ s deputy personify interfering going around the country launching project in an effort that was largely watch as … https: / / t. cobalt / s7HjfPpzbv'],0,0
"['Govt allocates Sh310bn to discharge infrastructural projects: NAIROBI, Kenya June tenner - The government activity has set divagation … hypertext transfer protocol: / / t. carbon monoxide / 2bybgVKlqN']",1,0
"[""ODM Leader Raila Odinga ' s project launched _ _ day not a fevour _ in alignment of _ on _ contri _ _: / / _. _ / _""]",1,0
"['_ allocates Sh310bn to _ infrastructural projects: _, _ June _ - The _ has set aside … https: / / _. _ / _']",1,0
['_ _ ’ s deputy was _ _ _ the country launching projects _ an effort that was _ _ _ _ https: / / t. co / s7HjfPpzbv'],0,0
['@ J_Ladiva @ _ @ _ @ StateHouseKenya # RiverlineRidgesRuiruKE the _ Got _ nod _ _ t _ _: / / _. co / LcKCZflqiz'],1,0
['Uhuru Kenyatta ’ s deputy was officious going around the land launching task in an effort that constitute largely seen as … http: / / t. co / s7HjfPpzbv'],0,0
['None of the project launched or mentioned during the Madaraka time period are possess by or meant to serve Kisumu county … https: / / t. co / JhYrJKa3Jz'],0,0
['President Uhuru _ _ _ ambitious _ _ _ Kenya _ _ _. Through this projec … https: / / t. co / xnA3SSRSqo'],1,0
"['Govt allocates Sh310bn to complete infrastructural projects: NAIROBI, Republic of kenya June 10 - The government receive set digression … http: / / t. co / 2bybgVKlqN']",1,0
"[""ODM Leader Raila Odinga ' s undertaking launch on madaraka day non a fevour merely in alliance of 2013 on county contri … https: / / t. co / 3HV17xUeTU""]",1,0
['President Uhuru Kenya start an challenging project called the Republic of kenya Affordable Lodging Project. Through this projec … https: / / tonne. carbon monoxide / xnA3SSRSqo'],1,0
['Uhuru Kenyatta ’ _ _ _ busy going _ the country _ _ in _ _ that _ largely seen _ … https: / / t. co / s7HjfPpzbv'],0,0
['_ Uhuru _ _ an ambitious project _ _ Kenya Affordable _ _. Through _ projec … https: / / t. _ / xnA3SSRSqo'],1,0
['President of the united states Uhuru Republic of kenya started an ambitious project called the Kenya Affordable Living accommodations Undertaking. Done this projec … http: / / t. co / xnA3SSRSqo'],1,0
"[""One of President Uhuru Kenyatta ' sec mega projects, the Nairobi Thruway, pack shape twenty four hour period by day hypertext transfer protocol: / / t. co / ebz4wLy1cH""]",1,0
['None of the projects set in motion or remark during the Madaraka geological period are have by or meant to dish Kisumu county … http: / / tonne. centennial state / JhYrJKa3Jz'],0,0
['_ Kenyatta ’ s deputy _ _ going around _ _ _ projects _ _ effort that was _ seen as … https: / / t. _ / s7HjfPpzbv'],0,0
['None of the projects launch oregon mentioned during the Madaraka period of time be owned by or mean to assist Kisumu county … https: / / t. co / JhYrJKa3Jz'],0,0
['President Uhuru _ _ _ ambitious project _ _ Kenya Affordable _ Project. Through this _ … _: / / t. co / _'],1,0
['None of the projects launch or mentioned during the Madaraka period of time are owned by operating room intend to dish up Kisumu county … http: / / thyroxin. carbon monoxide / JhYrJKa3Jz'],0,0
['Chairman Uhuru Kenya bulge out an challenging project called the Republic of kenya Affordable Housing Undertaking. Through with this projec … hypertext transfer protocol: / / t. centennial state / xnA3SSRSqo'],1,0
['Uhuru Kenyatta ’ s _ was busy going around _ _ _ _ in an effort _ was largely seen as _ _: / / _. _ / s7HjfPpzbv'],0,0
"['Govt allocates _ _ _ _ projects: NAIROBI, Kenya June _ - The _ has set _ … https: / / t. _ / _']",1,0
['Uhuru Kenyatta ’ s deputy be busy locomote around the commonwealth launch undertaking in an effort that be largely seen as … https: / / deoxythymidine monophosphate. co / s7HjfPpzbv'],0,0
['President _ Kenya _ _ ambitious project _ _ Kenya _ Housing Project. Through _ _ _ https: / / t. co / xnA3SSRSqo'],1,0
['_ Uhuru Kenya _ an _ project _ _ Kenya _ Housing Project. _ _ projec … _: / / t. co / xnA3SSRSqo'],1,0
"[""ODM Loss leader Raila Odinga ' due south project set up on madaraka day not a fevour merely in conjunction of 2013 on county contri … https: / / t. co / 3HV17xUeTU""]",1,0
"[""Unrivalled of President Uhuru Kenyatta ' s mega projects, the Nairobi Expressway, taking form day by solar day hypertext transfer protocol: / / mt. co / ebz4wLy1cH""]",1,0
"[""One of Chair Uhuru Kenyatta ' s mega projects, the Nairobi Expressway, taking frame day by sidereal day https: / / deoxythymidine monophosphate. centennial state / ebz4wLy1cH""]",1,0
['Uhuru Kenyatta ’ s deputy sheriff be busy going around the body politic found task in an cause that was largely seen as … https: / / tetraiodothyronine. co / s7HjfPpzbv'],0,0
"[""ODM _ _ Odinga ' s _ launched on madaraka day _ a _ _ _ alignment of 2013 _ _ contri … _: / / t. co / 3HV17xUeTU""]",1,0
"['Govt allocates Sh310bn to complete infrastructural task: capital of kenya, Republic of kenya June ten - The authorities has set aside … hypertext transfer protocol: / / t. cobalt / 2bybgVKlqN']",1,0
The project touted to be one of the major fruits of handshake between President Uhuru Kenyatta and Opposition leade… https://t.co/fDAWZnqKHr,0,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from HE t … http: / / t. conscientious objector / LcKCZflqiz'],1,0
['Uhuru Kenyatta ’ s deputy be busy going around the land plunge projects in an effort that equal largely seen as … hypertext transfer protocol: / / t. carbon monoxide / s7HjfPpzbv'],0,0
['President Uhuru Kenya start an challenging projection call the Kenya Affordable Housing Project. Through this projec … hypertext transfer protocol: / / t. co / xnA3SSRSqo'],1,0
['Uhuru Kenyatta ’ s lieutenant was meddlesome go around the country launch projection in an try that live largely seen as … hypertext transfer protocol: / / t. co / s7HjfPpzbv'],0,0
"[""Nonpareil of Chair Uhuru Kenyatta ' randomness mega projects, the Nairobi Expressway, taking shape day by day hypertext transfer protocol: / / thymine. co / ebz4wLy1cH""]",1,0
"['Govt apportion Sh310bn to make out infrastructural projects: NAIROBI, Kenya June 10 - The government activity has arrange away … hypertext transfer protocol: / / liothyronine. co / 2bybgVKlqN']",1,0
"[""_ Leader Raila _ ' _ project _ on madaraka _ _ a fevour but _ _ _ 2013 on _ contri … https: / / t. co / 3HV17xUeTU""]",1,0
['Uhuru Kenyatta ’ s deputy was busy go around the country launching project in an drive that comprise largely seen as … https: / / t. co / s7HjfPpzbv'],0,0
['Uhuru Kenyatta ’ s deputy was busy pop off around the country set up projects in an effort that comprise for the most part seen as … https: / / metric ton. atomic number 27 / s7HjfPpzbv'],0,0
"['Govt apportion Sh310bn to make out infrastructural project: NAIROBI, Kenya June x - The government has go down away … http: / / t. co / 2bybgVKlqN']",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Undertaking Got a nod from helium t … http: / / metric ton. carbon monoxide / LcKCZflqiz'],1,0
"[""ODM Leader Raila Odinga ' second projection launched on madaraka twenty four hours not a fevour but in alignment of 2013 on counties contri … https: / / t. co / 3HV17xUeTU""]",1,0
"['Govt allocates Sh310bn to discharge infrastructural project: NAIROBI, Kenya June decade - The government has set excursus … https: / / t. centennial state / 2bybgVKlqN']",1,0
"['Govt allocates Sh310bn to complete infrastructural project: NAIROBI, Kenya June 10 - The administration has fix aside … https: / / t. atomic number 27 / 2bybgVKlqN']",1,0
"['Govt allocates Sh310bn to fill out infrastructural projects: capital of kenya, Kenya June 10 - The government receive set up divagation … https: / / t. co / 2bybgVKlqN']",1,0
['President Uhuru Kenya start out an ambitious projection call the Kenya Affordable Living accommodations Project. Done this projec … https: / / t. conscientious objector / xnA3SSRSqo'],1,0
"['Govt allocates Sh310bn to complete infrastructural task: NAIROBI, Republic of kenya June 10 - The government has do aside … https: / / t. co / 2bybgVKlqN']",1,0
"['Govt _ _ to complete infrastructural projects: _, Kenya _ _ - The _ has set _ _ https: / / t. co / _']",1,0
"[""ODM _ Raila Odinga ' s project launched on _ day _ _ fevour but in _ of 2013 on _ _ … _: / / t. _ / _""]",1,0
['@ _ @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # _ the _ Got a _ from HE t _ _: / / _. _ / _'],1,0
"[""One _ _ Uhuru Kenyatta ' _ _ projects, _ Nairobi Expressway, _ _ day _ day https: / / _. co / ebz4wLy1cH""]",1,0
['None _ _ projects launched _ mentioned during _ _ _ are owned _ or meant to serve Kisumu county … _: / / t. _ / JhYrJKa3Jz'],0,0
['President Uhuru Kenya started an challenging project call the Kenya Affordable Trapping Project. Through with this projec … hypertext transfer protocol: / / thyroxin. co / xnA3SSRSqo'],1,0
['President _ Kenya _ _ ambitious project called the Kenya Affordable Housing _. _ _ projec _ _: / / t. _ / xnA3SSRSqo'],1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from atomic number 2 t … hypertext transfer protocol: / / t. co / LcKCZflqiz'],1,0
['President _ Kenya started an _ project called _ _ Affordable Housing _. Through this projec _ https: / / _. _ / _'],1,0
['_ Uhuru Kenya _ an _ _ called _ Kenya _ _ Project. Through this _ … https: / / _. co / xnA3SSRSqo'],1,0
"['Govt allocates Sh310bn to _ _ _: NAIROBI, _ June 10 - The government _ set _ _ https: / / t. _ / _']",1,0
['Uhuru Kenyatta ’ _ deputy _ busy going _ _ country launching projects _ _ effort that was largely seen as _ _: / / _. co / _'],0,0
"['Govt allocates Sh310bn to complete infrastructural projection: capital of kenya, Republic of kenya June 10 - The government receive set aside … http: / / t. conscientious objector / 2bybgVKlqN']",1,0
['None of the projects launched or observe during the Madaraka geological period be owned by operating theater meant to attend Kisumu county … https: / / triiodothyronine. carbon monoxide gas / JhYrJKa3Jz'],0,0
"[""One of President _ _ ' s mega _, the Nairobi _, taking _ _ _ _ _: / / t. co / ebz4wLy1cH""]",1,0
['@ J_Ladiva @ Riverlineridges @ PSCharlesHinga @ StateHouseKenya # RiverlineRidgesRuiruKE the Project Got a nod from atomic number 2 t … https: / / tetraiodothyronine. centennial state / LcKCZflqiz'],1,0
"[""_ of President _ _ ' s mega projects, _ _ Expressway, taking shape _ by day _: / / _. co / _""]",1,0
['President Uhuru Republic of kenya started an challenging labor call the Kenya Affordable Trapping Project. Through this projec … hypertext transfer protocol: / / t. co / xnA3SSRSqo'],1,0
['None _ the projects launched or mentioned _ _ Madaraka _ are owned _ or meant to _ _ county … https: / / t. _ / _'],0,0
